AngMes,VelMes,i_a,i_b,u_a,u_b
1481,2356,-459,-405,-642,-737
1482,2748,-459,-414,-546,-665
1482,2748,-452,-491,-539,-599
1482,2748,-437,-429,-540,-673
1483,2748,-425,-410,-524,-715
1484,2748,-416,-421,-519,-715
1484,2356,-404,-414,-592,-817
1485,2356,-396,-342,-570,-915
1485,2356,-386,-438,-564,-832
1486,2356,-380,-467,-555,-814
1486,2356,-380,-476,-539,-817
1487,2749,-377,-477,-443,-749
1487,2749,-433,-500,-370,-735
1487,2749,-366,-486,-421,-759
1488,2749,-349,-480,-408,-783
1489,2749,-336,-479,-405,-793
1489,2356,-318,-476,-468,-900
1490,2356,-309,-476,-443,-919
1490,2356,-310,-495,-425,-910
1491,2356,-307,-507,-412,-908
1491,2356,-298,-522,-403,-901
1492,2748,-300,-534,-313,-807
1492,2748,-297,-538,-299,-810
1493,2748,-270,-531,-309,-824
1493,2748,-262,-518,-283,-851
1494,2748,-241,-518,-287,-857
1494,2356,-235,-527,-321,-958
1495,2356,-221,-520,-318,-972
1495,2356,-217,-538,-285,-967
1496,2356,-220,-553,-264,-959
1496,2356,-209,-560,-256,-958
1497,2748,-206,-575,-186,-848
1497,2748,-196,-584,-177,-843
1498,2748,-173,-568,-183,-863
1498,2748,-165,-551,-156,-888
1499,2748,-161,-548,-141,-895
1499,2356,-146,-562,-167,-993
1500,2356,-134,-551,-160,-1008
1500,2356,-128,-562,-128,-1004
1501,2356,-132,-573,-105,-998
1501,2356,-110,-587,-108,-987
1502,2748,-99,-598,-61,-870
1502,2748,-91,-600,-51,-869
1503,2748,-84,-599,-40,-871
1503,2748,-76,-583,-30,-888
1504,2748,-70,-576,0,-897
1504,2356,-60,-583,-2,-1003
1505,2356,26,-529,-71,-1058
1506,2356,-33,-582,28,-1007
1506,2356,-44,-596,58,-993
1506,2356,-26,-604,60,-986
1507,2356,-18,-607,71,-984
1508,2356,-57,-633,150,-956
1508,2356,5,-617,106,-971
1508,2356,28,-611,103,-976
1509,2356,24,-623,146,-961
1509,2748,39,-629,143,-841
